第一组：图书馆门口广场	第二组：教三过道	第三组：科学会堂和主楼之前的道路	第四组：主楼北面道路
-38	-68	-66	-44
-37	-66	-67	-44
-38	-68	-65	-51
-38	-65	-64	-53
-39	-66	-63	-55
-36	-70	-64	-47
-39	-67	-67	-57
-40	-73	-68	-56
-31	-66	-66	-55
-36	-67	-69	-44
-34	-62	-66	-42
-28	-67	-67	-48
-37	-67	-67	-54
-40	-62	-65	-53
-38	-62	-64	-46
-39	-67	-63	-42
-35	-61	-45	-41
-36	-66	-44	-46
-40	-70	-45	-45
-39	-69	-56	-57
-37	-67	-41	-45
-34	-56	-40	-42
-36	-53	-43	-46
-33	-45	-42	-56
-34	-57	-53	-43
-33	-56	-44	-44
-37	-51	-55	-56
-39	-47	-53	-58
-36	-58	-54	-57
-39	-53	-52	-56
-41	-55	-56	-55
-40	-56	-54	-40
-41	-39	-46	-57
-33	-55	-47	-42
-39	-49	-43	-58
-41	-55	-55	-56
-38	-54	-55	-42
-40	-49	-56	-55
-37	-47	-56	-55
-36	-57	-57	-43
-34	-64	-56	-42
-33	-66	-54	-46
-35	-64	-57	-100
-36	-65	-55	-100
-41	-66	-55	-44
	-60	-55	-47
		-47	-46
		-56	-45
		-56	-47
		-43	
		-56	
		-55	
