,title,casts
0,城市猎人 普通话版,"菲利普·拉肖,艾洛蒂·丰唐,塔雷克·布达里,朱利安·阿鲁蒂,迪迪埃·布尔东,帕米拉·安德森,热拉尔·朱尼奥,卡梅尔·古恩福,奥黛丽·拉米,拉斐尔·佩尔索纳,丽姆·柯里奇,梅迪·萨东,多萝泰,阿尔本·巴贾拉克塔拉贾,杰若梅·勒·班纳,索菲·穆塞尔,莉亚·科贝德,艾莉莎·巴奇尔·贝,安妮-索伦娜·哈特,文森特·罗皮恩,加布里埃·玛丽,阿米莉娜·利穆西"
1,风雨双流星,"王羽,成龙,蓝毓莉,玉灵龙"
2,大武士与小镖客,"陈星,罗烈,黄正利,丁华宠,龙君儿"
3,海员七号,"王羽,田俊,衣依"
4,神勇飞虎霸王花,"胡慧中,冯淬帆,吴君如,惠英红,罗美薇,叶子楣,楼南光,黄锦燊,刘玉婷,火星,梁韵蕊,张耀华,简慧真,卢惠光,陈佩珊"
5,人皮交易,"彼得·威勒,朗·普尔曼,杜夫·龙格尔,迈克尔·加·怀特,卢靖姗,托尼·贾"
6,紧急救援,"彭于晏,王彦霖,辛芷蕾,蓝盈莹,王雨甜,徐洋,陈家乐,李岷城,张景祎,李欣蕊,郭晓东,张国强,魏大勋,连凯"
7,绝战,"育骏,王岚,高明升,胡子健,吕文军,陈升卫,路少平,蒋林燕,孙鸣骏,王军,王旭升"
8,杨门女将,"王晶华,杨秋玲,梁幼莲"
9,海王,"杰森·莫玛,艾梅柏·希尔德,妮可·基德曼,帕特里克·威尔森"
10,巴黎危机,"伊德里斯·艾尔巴,理查德·麦登,凯利·蕾莉,夏洛特·勒·邦,阿纳托尔·优素福,丹尼尔·韦斯特伍德"
11,急冻奇侠,"元彪,元华,张曼玉,林聪,吴志雄,黄耀明,黎燕姗,徐锦江,元奎,王晶"
12,的士速递2,"萨米·纳塞利,弗雷德里克·迪芬塔尔,玛丽昂·歌迪亚,艾玛·韦克伦德"
13,怒火保镖,"杰森·斯坦森,迈克尔·安格拉诺,多米尼克·加西亚-洛里多,霍普·戴维斯,米洛·文堤米利亚,马克斯·凯塞拉"
14,王牌保镖,"瑞恩·雷诺兹,塞缪尔·杰克逊,艾洛蒂·袁,萨尔玛·海耶克,加里·奥德曼,克里斯蒂·米切尔,约瑟芬·德·拉·波美,乔昆姆·德·阿尔梅达"
15,绣春刀II：修罗战场,"张震,杨幂,张译,雷佳音,辛芷蕾,金士杰"
16,南北少林,"李连杰,黄秋燕,胡坚强"
17,师父,"廖凡,宋佳,蒋雯丽,金士杰"
18,谍影特工,"皮尔斯·布鲁斯南,欧嘉·柯瑞兰寇,卢克·布雷西,卡特琳娜·斯柯松"
19,暴力街区,"保罗·沃克,大卫·贝利,RZA,古奇·鲍埃"
20,智深传2,"晋松,谭旭,叶新晨,南伏龙,郑文森"
21,追龙Ⅱ,"梁家辉,古天乐,林家栋,邱意浓,叶相明,任达华,杜江,余安安,韦家雄,陈伟雄,黄竣锋,王宝葆"
22,速度与激情6,"范·迪塞尔,保罗·沃克,道恩·强森,乔丹娜·布鲁斯特"
23,影,"邓超,孙俪,郑恺,王千源"
24,寻龙诀,"陈坤,黄渤,舒淇,杨颖"
25,功夫之王,"李连杰,成龙,刘亦菲,李冰冰"
26,心理罪之城市之光,"邓超,阮经天,刘诗诗,文淇,林嘉欣,郭京飞,雷米,马苏"
27,拆弹专家2,"刘德华,刘青云,倪妮,谢君豪,姜皓文,吴卓羲,马浴柯,黄德斌,郑子诚,洪天明,袁富华,刘浩龙,凌文龙,赵永洪,蔡瀚亿,张竣杰,张扬"
28,人潮汹涌,"刘德华,肖央,万茜,程怡"
29,我不是黄飞鸿,"严丰,罗家英,张冰倩,胡蒲,屠夏岩,张琛"
30,速度与激情3,",卢卡斯·布莱克,宝娃,扎切里·泰·布莱恩,纳塔莉·"
31,帕克,"杰森·斯坦森,詹妮弗·洛佩兹,尼克·诺特,迈克尔·切克利斯,小克利夫顿·克林斯,维德尔·皮尔斯,艾玛·布斯"
32,使徒行者2：谍影行动,"张家辉,古天乐,吴镇宇,姜珮瑶,张亦驰,刘宇宁,黄志忠,蔡洁,马德钟,袁伟豪,陈山聪,王君馨,张宝儿,江嘉敏,李忠希,刘楚恬,欧瑞伟,郑启泰,黄祥兴,徐荣,林伟,吴瑞庭,卫志豪,黎振烨,汤洛雯,许绍雄,关宛珊"
33,奇异博士,"本尼迪克特·康伯巴奇,蒂尔达·斯文顿,麦斯·米科尔森,切瓦特·埃加福特"
34,反贪风暴3,"古天乐,张智霖,郑嘉颖,邓丽欣"
35,的士速递5,"弗兰克·盖思堂彼得,马利克·班泽拉,伯纳尔·法西,塞尔维托·埃斯波西多"
36,狄仁杰之四大天王,"赵又廷,冯绍峰,林更新,阮经天"
37,正义联盟,"本·阿弗莱克,亨利·卡维尔,盖尔·加朵,埃兹拉·米勒,杰森·莫玛"
38,三少爷的剑,"林更新,何润东,江一燕,蒋梦婕,鲍起静"
39,伦敦陷落,"杰拉德·巴特勒,阿伦·伊克哈特,摩根·弗里曼,"
40,侍神令,"陈坤,周迅,陈伟霆,屈楚萧,王丽坤,沈月,王紫璇,张子枫"
41,新少林五祖,"李连杰,谢苗,邱淑贞,叶德娴,陈松勇,计春华,王龙威,猪哥亮"
42,杨门女将之军令如山,"张柏芝,任贤齐,刘晓庆,郑佩佩,周海媚,陈紫函,金巧巧,于娜,大岛由加利,刘冬,赵芊羽,杨紫彤,肖明玉,戈春艳,周小飞,王媞,李静,张绮烟,午马,史梵希,任学海,林威"
43,龙牌之谜,"成龙,阿诺·施瓦辛格,杰森·弗莱明,姚星彤,马丽,李彧,刘智福,刘智堂,刘智满,李萌萌,安娜·邱丽娜,尤里·科洛科利尼科夫,巴维尔·沃利亚,克里斯托弗·法里班克,马丁·科勒巴,查尔斯·丹斯,鲁特格尔·哈尔,巴雷特·科茨,伊戈尔·日日金,娜露潘格慕·柴辛,安德烈·梅尔兹利金,维伦·巴比切夫,苼楠塔茬·塔纳潘披散,彼得·拉斐尔森,尼基塔·塔拉索夫,阿列克谢·彼得鲁欣,葵咪莎拉·普碟,安东尼·加瓦德,马蒂厄·雅克,莱安德罗·梅厄·马丁内斯"
44,最强学渣,"杜浩丰,陶俊竹,张佳帅"
45,金山伏魔传,"程琢,林枫烨,付赫安琪"
46,除暴,"王千源,吴彦祖,春夏,卫诗雅,大力,于笑,胡子程,李晓川,洪浚嘉,纪焕博,庞雨浓,答有为,鲍起静,尤勇,王超北"
47,雪豹之虎啸军魂,"文章,乔鹏樾,冯越,吴承轩,杜玉明,赵家林,刘广楠,林雪松,张政勇"
48,扫毒,"古天乐,张家辉,刘青云,袁泉,卢海鹏,吴廷烨,林国斌,卢惠光,吴岱融,宝儿,马浴柯,释彦能,罗兰,李兆基,维他亚·潘斯林加姆"
49,云南虫谷,"蔡珩,顾璇,于恒,成泰燊"
50,侠盗联盟,"刘德华,舒淇,张静初,杨祐宁,让·雷诺,曾志伟,沙溢,游天翼"
51,换灵卧底,"姚震宇,徐超,刘冠成,常冶凝,郗达,宋奇璐,王嘉豪,徐振,李俊颉,徐荣花,刘建文,安宁,韩美轩"
52,特种兵之战狼归来,"刘飞,王朝晨,孙书磊,石运浩,徐超,杨强,张震,孙元文"
53,第十一回,"周迅,陈建斌,窦靖童,春夏,大鹏,宋佳"
54,机械师2：复活,"杰森·斯坦森,杰西卡·阿尔芭,汤米·李·琼斯,杨紫琼,山姆·哈兹尔丁,约翰·塞纳迭姆博,托比·艾丁顿,Femi,Elufowoju,Jr."
55,唐人街探案3,"王宝强,刘昊然,妻夫木聪,托尼·贾,长泽雅美,张子枫,铃木保奈美,染谷将太,浅野忠信,三浦友和,尚语贤,肖央,邱泽,张钧甯,马伯骞,程潇"
56,蛇王,"陈信喆,康宁,高子健"
57,神探蒲松龄,"成龙,阮经天,钟楚曦,林柏宏"
58,速度与激情8,"范·迪塞尔,道恩·强森,查理兹·塞隆,杰森·斯坦森,米歇尔·罗德里格兹,娜塔莉·伊曼纽尔,埃尔莎·帕塔奇,海伦·米伦"
59,摸金爵之卧龙诡阵,"侯佩杉,何其炜,李柏谊,吴春怡,郭德诚,石剑涛,李小鹏"
60,刺杀小说家,"雷佳音,杨幂,董子健,于和伟,郭京飞,佟丽娅,董洁,王圣迪,杨轶"
61,急先锋,"成龙,杨洋,艾伦,徐若晗,母其弥雅,朱正廷,楼学贤,郭芷妍,埃亚德·胡拉尼,杨建平,周斌,王延龙,王驹"
62,尖峰时刻2,"成龙,克里斯·塔克,尊龙,章子怡,罗塞莉·桑切斯,李美琪,曾江"
63,复仇者联盟4：终局之战,"小罗伯特·唐尼,克里斯·埃文斯,马克·鲁弗洛,克里斯·海姆斯沃斯,斯嘉丽·约翰逊,杰瑞米·雷纳,保罗·路德,凯伦·吉兰,唐·钱德尔,布丽·拉尔森,布莱德利·库珀,泰莎·汤普森,汤姆·赫兰德,伊丽莎白·奥尔森,本尼迪克特·康伯巴奇,蒂尔达·斯文顿,格温妮斯·帕特洛,蕾妮·罗素,约翰·斯拉特里,查德维克·博斯曼,安东尼·麦凯,塞巴斯蒂安·斯坦,克里斯·帕拉特,汤姆·希德勒斯顿,佐伊·索尔达娜,丹娜·奎里拉,本尼迪克特·王,庞·克莱门捷夫,戴夫·巴蒂斯塔,利蒂希娅·赖特,伊万杰琳·莉莉,乔恩·费儒,海莉·阿特维"
64,无双,"周润发,郭富城,张静初,冯文娟"
65,逆时营救,"杨幂,霍建华,金士杰,刘畅,张艺瀚,王俐丹"
66,极速之巅,"尼古拉斯·霍尔特,饰,Casey,Stein,菲丽希缇·琼斯,饰,Juliette,Marne,安东尼·霍普金斯,饰,Hagen,Kahl,本·金斯利,饰,Geran,克里斯蒂安·佩德森,饰,Kay"
67,速度与激情7,"范·迪塞尔,保罗·沃克,杰森·斯坦森,米歇尔·罗德里格兹,乔丹娜·布鲁斯特,泰瑞斯·吉布森"
68,破·局,"郭富城,王千源,刘涛,余皑磊,冯嘉怡,郑凯"
69,缉魂,"张震,张钧甯,孙安可,李铭顺,张柏嘉"
70,特工的特别任务,"安东尼奥·班德拉斯,梅格·瑞恩,科林·汉克斯,塞尔玛·布莱尔"
71,反贪风暴4,"古天乐,郑嘉颖,林峯,林家栋"
72,叶问3,"甄子丹,迈克·泰森,张晋,熊黛林,谭耀文,吴千语,喻亢,郑则仕,梁家仁,张继聪,陈国坤,刘以达,宗菲,曹操,王实,崔璨,刘艺菲"
73,王牌逗王牌,"刘德华,黄晓明,王祖蓝,"
